filename,processFg,cadaverVec,trocar1_x,trocar1_y,trocar1_z,trocar2_x,trocar2_y,trocar2_z,trocar3_x,trocar3_y,trocar3_z,cadaver1_x,cadaver1_y,cadaver1_z,cadaver2_x,cadaver2_y,cadaver2_z,cadaver3_x,cadaver3_y,cadaver3_z
20220909.csv,1,0,-0.559378,0.282164,0.105316,-0.477076,0.265461,0.172919,-0.506114,0.237507,0.276056,-0.596158,0.235305,-0.263081,-0.660376,0.285727,-0.031227,-0.73879,0.219826,0.43995
20220913.csv,1,1,-0.737798,0.221463,0.203923,-0.694903,0.201711,0.045935,-0.644827,0.12722,0.120453,-1.07088,0.264489,-0.160123,-0.918214,0.268898,0.296646,-0.803764,0.183152,0.63609
